expression,reading,meaning,tags,parts_of_speech,group
在庫,ざいこ,"stockpile, stock",N1,noun,Shopping & Money
財政,ざいせい,"economy, financial affairs",N1,noun,Shopping & Money
潤う,うるおう,to be moist; to profit by,N1,verb,Shopping & Money
残金,ざんきん,remaining money,N1,noun,Shopping & Money
残高,ざんだか,"(bank) balance, remainder",N1,noun,Shopping & Money
決算,けっさん,"balance sheet, settlement of accounts",N1,noun,Shopping & Money
富,とみ,"wealth, fortune",N1,noun,Shopping & Money
取り替え,とりかえ,"swap, exchange",N1,noun,Shopping & Money
問屋,とんや,wholesale store,N1,noun,Shopping & Money
値引き,ねびき,"price reduction, discount",N1,noun,Shopping & Money
念,ねん,"sense, feeling, desire",N1,noun,Shopping & Money
納入,のうにゅう,"payment, supply",N1,noun,Shopping & Money
交す,かわす,to exchange,N1,verb,Shopping & Money
延べ,のべ,"futures, credit (buying), stretching, total",N1,noun,Shopping & Money
インターチェンジ,インターチェンジ,interchange,N1,noun,Shopping & Money
売り出し,うりだし,(bargain) sale,N1,noun,Shopping & Money
運賃,うんちん,"freight rates, shipping expenses, (passenger) fare",N1,noun,Shopping & Money
金槌,かなづち,(iron) hammer,N1,noun,Shopping & Money
株式,かぶしき,stock,N1,noun,Shopping & Money
貨幣,かへい,"money, currency, coinage",N1,noun,Shopping & Money
換算,かんさん,"conversion, change, exchange",N1,noun,Shopping & Money
感触,かんしょく,"sense of touch, feeling, sensation",N1,noun,Shopping & Money
立て替える,たてかえる,"to pay in advance, to pay for another",N1,verb,Shopping & Money
基金,ききん,"fund, foundation",N1,noun,Shopping & Money
義理,ぎり,"debt of gratitude, obligation",N1,noun,Shopping & Money
切替,きりかえ,"exchange, conversion, switchover",N1,noun,Shopping & Money
均衡,きんこう,"equilibrium, balance",N1,noun,Shopping & Money
経費,けいひ,"expenses, cost, outlay",N1,noun,Shopping & Money
転任,てんにん,change of post,N1,noun,Shopping & Money
同感,どうかん,"agreement, same opinion, same feeling",N1,noun,Shopping & Money
資金,しきん,"funds, capital",N1,noun,Shopping & Money
上がり,あがり,"ascent; income; completion, stop",N1,noun,Shopping & Money
違える,ちがえる,to change,N1,verb,Shopping & Money
照合,しょうごう,"check, verification",N1,noun,Shopping & Money
所得,しょとく,income,N1,noun,Shopping & Money
送金,そうきん,"remittance, sending money",N1,noun,Shopping & Money
阻止,そし,"obstruction, check, hindrance",N1,noun,Shopping & Money
大金,たいきん,large amount of money,N1,noun,Shopping & Money
滞納,たいのう,"non-payment, default",N1,noun,Shopping & Money
脱退,だったい,"secession, withdrawal",N1,noun,Shopping & Money
チェンジ,チェンジ,change,N1,noun,Shopping & Money
賃金,ちんぎん,wages,N1,noun,Shopping & Money
恥じらう,はじらう,"to feel shy, to be bashful, to blush",N1,verb,Shopping & Money
痛感,つうかん,"feeling keenly, fully realizing",N1,noun,Shopping & Money
堤防,ていぼう,"bank, weir",N1,noun,Shopping & Money
テレックス,テレックス,"telex, teletypewriter exchange",N1,noun,Shopping & Money
浪費,ろうひ,"waste, extravagance",N1,noun,Shopping & Money
薄弱,はくじゃく,"feebleness, weakness, weak",N1,noun,Shopping & Money
下取り,したどり,"trade in, part exchange",N1,noun,Shopping & Money
実費,じっぴ,"actual expense, cost price",N1,noun,Shopping & Money
福祉,ふくし,"welfare, well-being",N1,noun,Shopping & Money
物資,ぶっし,"goods, materials",N1,noun,Shopping & Money
恥じる,はじる,to feel ashamed,N1,verb,Shopping & Money
ベストセラー,ベストセラー,best-seller,N1,noun,Shopping & Money
変革,へんかく,"change, reform(the) Reformation",N1,noun,Shopping & Money
返済,へんさい,repayment,N1,noun,Shopping & Money
募金,ぼきん,"fund-raising, collection of funds",N1,noun,Shopping & Money
保険,ほけん,"insurance, guarantee",N1,noun,Shopping & Money
名誉,めいよ,"honor, credit, prestige",N1,noun,Shopping & Money
有益,ゆうえき,"beneficial, profitable",N1,noun,Shopping & Money
融資,ゆうし,"financing, loan",N1,noun,Shopping & Money
預金,よきん,"deposit, bank account",N1,noun,Shopping & Money
見合わせる,みあわせる,to exchange glances; to postpone,N1,verb,Shopping & Money
利子,りし,interest (bank),N1,noun,Shopping & Money
利息,りそく,interest (bank),N1,noun,Shopping & Money
流通,りゅうつう,"circulation of money or goods, distribution",N1,noun,Shopping & Money
はらはら,はらはら,feel nervous,N1,noun,Shopping & Money
煙たい,けむたい,"smoky, feeling awkward",N1,i-adjective,Shopping & Money
安っぽい,やすっぽい,"cheap-looking, tawdry",N1,i-adjective,Shopping & Money
肝心,かんじん,"essential, fundamental, crucial",N1,na-adjective,Shopping & Money
肝腎,かんじん,"essential, fundamental, crucial",N1,na-adjective,Shopping & Money
資産,しさん,"property, fortune, assets",N1,na-adjective,Shopping & Money
掛～,かけ～,credit,N1,prefix/suffix,Shopping & Money
心地,ここち,"feeling, sensation, mood",N1,noun,Feelings & Emotions
滑稽,こっけい,"funny, humorous, comical",N1,noun,Feelings & Emotions
さも,さも,"with gusto, with satisfaction",N1,noun,Feelings & Emotions
懐く,なつく,to become emotionally attached,N1,verb,Feelings & Emotions
激励,げきれい,encouragement,N1,noun,Feelings & Emotions
同調,どうちょう,"sympathy, agree with, alignment",N1,noun,Feelings & Emotions
情け,なさけ,"sympathy, compassion",N1,noun,Feelings & Emotions
嘗める,なめる,to lick; to experience; to make fun of,N1,verb,Feelings & Emotions
悩み,なやみ,"trouble(s), worry, distress",N1,noun,Feelings & Emotions
陰気,いんき,"gloom, melancholy",N1,noun,Feelings & Emotions
恐れ,おそれ,"fear, horror",N1,noun,Feelings & Emotions
妬む,ねたむ,"to be jealous, to be envious",N1,verb,Feelings & Emotions
感無量,かんむりょう,"deep feeling, filled with emotion",N1,noun,Feelings & Emotions
緩和,かんわ,"relief, mitigation",N1,noun,Feelings & Emotions
喜劇,きげき,"comedy, funny show",N1,noun,Feelings & Emotions
惜しむ,おしむ,"to be frugal, to value, to regret",N1,verb,Feelings & Emotions
救援,きゅうえん,"relief, rescue, reinforcement",N1,noun,Feelings & Emotions
救済,きゅうさい,"relief, aid, rescue",N1,noun,Feelings & Emotions
共感,きょうかん,"sympathy, response",N1,noun,Feelings & Emotions
落ち込む,おちこむ,to get depressed,N1,verb,Feelings & Emotions
同情,どうじょう,"sympathy, compassion, sympathize",N1,noun,Feelings & Emotions
憧れ,あこがれ,"yearning, longing, aspiration",N1,noun,Feelings & Emotions
情緒,じょうちょ,"emotion, feeling",N1,noun,Feelings & Emotions
慕う,したう,to yearn to adore,N1,verb,Feelings & Emotions
情緒,じょうしょ,"emotion, feeling",N1,noun,Feelings & Emotions
